uuid	entry	run	subrun	event	dnnsp_reco1_same	dnnsp_detsim_same	gauss_same	wiener_same	dnnsp_maxabs	dnnsp_ndiff	dnnsp_sumT	dnnsp_sumA	gauss_maxabs	gauss_ndiff	wiener_maxabs	wiener_ndiff	passthrough_T	passthrough_A	T_reco1	A_reco1	T_detsim	A_detsim
c4c4-468c-d5b6-e032	2	1	6	7	1	1	0	0	0.0	0	3077341.25	3077341.25	2.2799999713897705	99	4.039999961853027	77	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-c4c4-468c-d5b6-e032.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-6113-76d3-e108-3c7c.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-c4c4-468c-d5b6-e032.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-6113-76d3-e108-3c7c.root
c4c4-468c-d5b6-e032	3	1	6	12	1	1	0	0	0.0	0	4002092.0	4002092.0	5.78000020980835	142	10.420000076293945	131	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-c4c4-468c-d5b6-e032.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-6113-76d3-e108-3c7c.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-c4c4-468c-d5b6-e032.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-6113-76d3-e108-3c7c.root
a964-b5d5-bad6-e3ac	0	1	12	1	1	1	1	1	0.0	0	6652780.0	6652780.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-a964-b5d5-bad6-e3ac.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-61ad-2a02-0247-556b.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-a964-b5d5-bad6-e3ac.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-61ad-2a02-0247-556b.root
a964-b5d5-bad6-e3ac	1	1	12	10	0	0	1	1	1.4910656213760376	37	11363288.0	11363278.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-a964-b5d5-bad6-e3ac.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-61ad-2a02-0247-556b.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-a964-b5d5-bad6-e3ac.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-61ad-2a02-0247-556b.root
a964-b5d5-bad6-e3ac	2	1	12	11	1	1	1	1	0.0	0	3807171.0	3807171.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-a964-b5d5-bad6-e3ac.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-61ad-2a02-0247-556b.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-a964-b5d5-bad6-e3ac.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-61ad-2a02-0247-556b.root
1846-ed4b-b660-a83f	0	1	14	3	1	1	1	1	0.0	0	15136020.0	15136020.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-1846-ed4b-b660-a83f.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-66d5-9216-a392-de9a.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-1846-ed4b-b660-a83f.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-66d5-9216-a392-de9a.root
1846-ed4b-b660-a83f	1	1	14	12	1	1	0	0	0.0	0	2433914.5	2433914.5	16.260000228881836	85	19.360000610351562	83	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-1846-ed4b-b660-a83f.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-66d5-9216-a392-de9a.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-1846-ed4b-b660-a83f.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-66d5-9216-a392-de9a.root
1846-ed4b-b660-a83f	2	1	14	15	1	1	1	1	0.0	0	9003900.0	9003900.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-1846-ed4b-b660-a83f.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-66d5-9216-a392-de9a.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-1846-ed4b-b660-a83f.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-66d5-9216-a392-de9a.root
5bae-dbac-c685-fc52	0	1	15	2	1	1	0	0	0.0	0	5426584.0	5426584.0	8.460000038146973	358	11.4399995803833	301	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-5bae-dbac-c685-fc52.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-6f1b-13a6-85c6-0a49.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-5bae-dbac-c685-fc52.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-6f1b-13a6-85c6-0a49.root
5bae-dbac-c685-fc52	1	1	15	3	1	1	0	0	0.0	0	12708851.0	12708851.0	14.579999923706055	69	17.31999969482422	67	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-5bae-dbac-c685-fc52.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-6f1b-13a6-85c6-0a49.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-5bae-dbac-c685-fc52.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-6f1b-13a6-85c6-0a49.root
