run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
299	79	4148	1	0	-12	0	1	1000	2593.42	-9.52	-69.01	348.65	355.3	-11	1000180400	11	1
299	79	8387	1	0	12	0	0	1001	674.71	105.01	-61.79	238.77	1315.3	11	1000180400	9	1
299	79	8781	2	0	12	0	1	1004	1110.46	61.30	1.73	488.10	1365.0	11	1000180400	23	1
299	79	8781	2	1	14	1	0	1002	320.26	-267.22	166.15	-361.18	691.7	14	1000200400	11	0
299	79	8931	1	0	12	0	1	1005	1477.84	89.77	-127.51	328.68	884.3	11	1000180400	11	1
299	79	10050	4	0	12	0	1	1003	766.15	155.52	94.69	162.25	993.8	11	1000180400	19	1
299	79	10050	4	1	14	0	10	1000	966.51	-47.47	256.92	-446.74	1370.3	13	1000140280	11	0
299	79	10050	4	2	14	1	0	1002	528.80	217.18	-535.91	-62.75	77.5	14	1000140280	13	0
299	79	10050	4	3	14	0	0	1001	315.56	116.03	368.90	384.62	790.9	13	1000260560	8	0
299	79	10170	2	0	14	1	10	1000	1953.42	-2.55	-458.52	-119.61	506.8	14	1000140280	11	0
299	79	10170	2	1	12	0	0	1001	1745.66	-197.26	-77.75	107.34	841.5	11	1000180400	10	1
299	79	11098	1	0	12	0	10	1000	973.89	64.39	146.82	216.98	1506.8	11	1000180400	21	1
299	79	11396	5	0	14	0	0	1001	325.63	513.55	-155.93	-498.69	1122.8	13	1000080160	8	0
299	79	11396	5	1	12	0	0	1001	637.52	-62.08	-153.48	340.85	716.6	11	1000180400	10	1
299	79	11396	5	2	14	0	2	1091	2004.74	-319.06	365.06	233.67	180.1	13	1000260560	18	0
299	79	11396	5	3	14	0	0	1001	276.80	-542.10	581.81	232.65	1356.3	13	1000080160	22	0
299	79	11396	5	4	14	1	1	1008	582.56	-309.13	-463.69	485.21	189.6	14	1000080160	15	0
298	31	4501	1	0	12	0	0	1001	1845.83	9.34	186.86	365.31	1413.8	11	1000180400	9	1
298	31	4862	2	0	14	1	0	1002	538.04	-426.21	244.92	-319.34	864.3	14	1000080160	9	0
