run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
713	45	47	2	0	14	0	0	1001	929.30	119.81	-603.84	698.04	1277.7	13	1000110230	8	0
713	45	47	2	1	14	0	0	1001	880.48	192.05	28.81	526.56	228.7	13	1000180400	10	0
713	58	2	2	0	14	0	1	1004	1365.68	6.91	-251.68	-20.90	969.2	13	1000180400	12	0
713	58	2	2	1	14	0	0	1001	408.79	543.16	-25.34	418.87	867.6	13	1000200400	8	0
713	58	4	2	0	14	0	0	1001	1113.16	-172.58	-219.90	193.56	937.7	13	1000180400	10	0
713	58	4	2	1	14	0	10	1000	644.61	-53.34	-532.33	532.02	875.0	13	1000080160	12	0
713	58	5	3	0	14	0	10	1000	1927.07	466.25	600.49	-571.77	550.5	13	1000080160	22	0
713	58	5	3	1	-14	0	0	1001	1313.91	-60.11	2.32	-55.07	834.9	-13	1000180400	9	0
713	58	5	3	2	14	0	10	1000	373.42	206.79	-70.00	-461.79	234.0	13	1000200400	25	0
713	58	9	1	0	14	1	0	1002	167.46	34.58	35.12	439.43	93.2	14	1000180400	12	1
713	58	11	2	0	14	1	0	1002	182.57	-295.32	-515.06	192.47	787.4	14	1000140280	10	0
713	58	11	2	1	14	0	0	1001	1033.54	-233.00	3.48	215.80	898.5	13	1000180400	9	0
713	58	19	3	0	14	0	1	1003	1418.29	-103.37	-10.50	177.01	350.7	13	1000180400	13	1
713	58	19	3	1	14	1	0	1002	621.92	-444.47	64.37	960.34	889.2	14	1000080160	10	0
713	58	19	3	2	14	0	0	1001	295.99	652.37	167.34	568.58	440.6	13	1000140280	8	0
713	58	20	2	0	14	0	2	1091	2679.84	201.24	-104.13	-309.63	1036.6	13	1000080160	17	0
713	58	20	2	1	14	0	0	1001	354.46	-368.13	-598.87	-368.47	146.4	13	1000080160	9	0
713	58	23	1	0	14	0	1	1003	551.31	166.97	-54.20	456.82	985.6	13	1000180400	14	1
713	58	28	2	0	14	0	0	1001	290.08	-698.51	526.17	-240.74	1359.2	13	1000160320	11	0
713	58	28	2	1	14	0	0	1001	542.90	-101.88	-144.25	-45.57	381.0	13	1000180400	9	0
713	58	34	1	0	14	0	0	1001	477.16	170.55	-114.43	-20.48	1290.7	13	1000180400	9	0
713	58	47	1	0	14	1	10	1000	1338.05	-212.06	77.63	177.63	615.3	14	1000180400	12	0
713	97	6	1	0	14	0	0	1001	1488.97	-0.68	16.23	117.59	914.9	13	1000260560	9	1
713	97	7	1	0	14	1	1	1009	433.60	477.73	293.84	-27.22	382.1	14	1000140280	12	0
713	97	9	1	0	14	1	0	1002	631.05	235.37	-103.54	183.18	993.3	14	1000180400	10	0
713	97	10	2	0	14	0	10	1000	1198.65	87.88	-14.47	379.16	984.5	13	1000180400	12	1
713	97	10	2	1	14	0	1	1003	2407.22	504.44	-112.79	-459.03	1218.9	13	1000140280	19	0
713	97	11	3	0	14	1	0	1002	693.45	-360.65	148.59	-360.60	1319.2	14	1000080160	14	0
713	97	11	3	1	14	0	1	1003	1627.60	91.29	-595.32	76.02	327.1	13	1000140280	13	0
713	97	11	3	2	14	0	2	1091	3904.06	224.98	29.31	-138.70	809.9	13	1000060120	25	0
713	97	15	3	0	14	1	0	1002	211.05	-308.07	136.60	-334.14	1033.1	14	1000080160	9	0
713	97	15	3	1	14	0	10	1000	784.22	205.97	98.97	29.22	1328.1	13	1000180400	12	0
